ab0c1f,2025-06-03 16:35:44,OPEN,,
4f4710,2025-06-03 16:36:10,DOWN,sum2,
b216be,2025-06-03 16:37:18,PICK,sum2,
0f330a,2025-06-03 16:37:43,BACK,sum2,
564ff2,2025-06-03 16:38:12,QUIT,,
7cd8e5,2025-06-03 16:45:26,OPEN,,
3b8daa,2025-06-03 16:45:29,PICK,sum2,
c724a8,2025-06-03 16:45:44,BACK,sum2,
2a9472,2025-06-03 16:45:50,PICK,sum2,
b49548,2025-06-03 16:45:56,BACK,sum2,
037b54,2025-06-03 16:45:59,QUIT,,
778046,2025-06-03 16:47:48,OPEN,,
5edac8,2025-06-03 16:47:49,PICK,sum2,
72030a,2025-06-03 16:47:51,BACK,sum2,
51bf9e,2025-06-03 16:48:36,QUIT,,
cda5a0,2025-06-03 16:49:26,OPEN,,
8d3888,2025-06-03 16:49:26,PICK,sum2,
c01f6e,2025-06-03 16:49:28,TEST,sum2,100
ce2289,2025-06-03 16:49:28,SIZE,sum2,7
e54d33,2025-06-03 16:53:23,BACK,sum2,
89296d,2025-06-03 16:54:12,SELF,sum2,"{c:100,a:6,s:5,clear:5,fun:1,easy:5}"
9cdedb,2025-06-03 16:58:21,DOWN,count1,
1c723e,2025-06-03 16:58:22,PICK,count1,
3dd814,2025-06-03 16:59:34,TEST,count1,100
10a12c,2025-06-03 16:59:34,SIZE,count1,6
62fa6d,2025-06-03 16:59:37,BACK,count1,
03f8e2,2025-06-03 17:00:08,SELF,count1,"{c:100,a:6,s:5,clear:5,fun:4,easy:5}"
bddb63,2025-06-03 17:00:17,DOWN,final,
51d6f2,2025-06-03 17:01:11,PICK,final,
479757,2025-06-03 17:01:12,TEST,final,100
6e9109,2025-06-03 17:01:12,SIZE,final,7
2f5cdd,2025-06-03 17:01:13,BACK,final,
f16894,2025-06-03 17:01:28,SELF,final,"{c:100,a:6,s:5,clear:5,fun:3,easy:5}"
00bd0e,2025-06-03 17:01:35,DOWN,equals,
403f12,2025-06-03 17:03:58,PICK,equals,
d369c3,2025-06-03 17:03:59,TEST,equals,100
fc31f3,2025-06-03 17:03:59,SIZE,equals,12
76da75,2025-06-03 17:04:00,BACK,equals,
dcb4aa,2025-06-03 17:05:23,SELF,equals,"{c:100,a:6,s:5,clear:5,fun:4,easy:5}"
3095c8,2025-06-03 17:05:25,DOWN,inside,
68db3d,2025-06-03 17:08:08,PICK,inside,
c323a5,2025-06-03 17:08:09,TEST,inside,100
